CITY,YEAR,MONTH,DAY,CASES,DEATHS,RAINFALL,TMAX,TMIN,TMEAN,RH,SUNSHINE,POPULATION,LAND AREA,POP_DENSITY,CASES_lag1,CASES_lag2,CASES_lag3,CASES_lag4,DEATHS_lag1,DEATHS_lag2,DEATHS_lag3,DEATHS_lag4,RAINFALL_lag1,RAINFALL_lag2,RAINFALL_lag3,RAINFALL_lag4,TMAX_lag1,TMAX_lag2,TMAX_lag3,TMAX_lag4,TMIN_lag1,TMIN_lag2,TMIN_lag3,TMIN_lag4,TMEAN_lag1,TMEAN_lag2,TMEAN_lag3,TMEAN_lag4,RH_lag1,RH_lag2,RH_lag3,RH_lag4,SUNSHINE_lag1,SUNSHINE_lag2,SUNSHINE_lag3,SUNSHINE_lag4,CASES_roll2_mean,CASES_roll4_mean,CASES_roll2_sum,CASES_roll4_sum,RAINFALL_roll2_mean,RAINFALL_roll4_mean,RAINFALL_roll2_sum,RAINFALL_roll4_sum,TMEAN_roll2_mean,TMEAN_roll4_mean,TMEAN_roll2_sum,TMEAN_roll4_sum,RH_roll2_mean,RH_roll4_mean,RH_roll2_sum,RH_roll4_sum,INCIDENCE_per_100k,RISK_LEVEL,ALERT,EPIDEMIC
CALOOCAN CITY,2016,1,10,27,0,0.0,32.0,21.8,26.9,73.0,6.4,1596900,55.8,28618.27957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6907758782641369,Low,False,False
CALOOCAN CITY,2016,1,17,19,0,0.0,32.3,23.0,27.65,67.0,8.3,1597145,55.8,28622.67025,27.0,,,,0.0,,,,0.0,,,,32.0,,,,21.8,,,,26.9,,,,73.0,,,,6.4,,,,,,,,,,,,,,,,,,,,1.1896227330643117,Low,False,False
CALOOCAN CITY,2016,1,24,43,0,0.0,30.6,23.8,27.2,65.0,3.9,1597390,55.8,28627.06093,19.0,27.0,,,0.0,0.0,,,0.0,0.0,,,32.3,32.0,,,23.0,21.8,,,27.65,26.9,,,67.0,73.0,,,8.3,6.4,,,23.0,,46.0,,0.0,,0.0,,27.275,,54.55,,70.0,,140.0,,2.691891147434252,Moderate,False,False
CALOOCAN CITY,2016,1,31,30,0,0.0,32.2,22.6,27.4,67.0,6.4,1597635,55.8,28631.45161,43.0,19.0,27.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,30.6,32.3,32.0,,23.8,23.0,21.8,,27.2,27.65,26.9,,65.0,67.0,73.0,,3.9,8.3,6.4,,31.0,,62.0,,0.0,,0.0,,27.425,,54.85,,66.0,,132.0,,1.877775587039593,Low,False,False
CALOOCAN CITY,2016,2,7,28,0,0.0,28.3,19.4,23.85,70.0,1.6,1597880,55.8,28635.84229,30.0,43.0,19.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2,30.6,32.3,32.0,22.6,23.8,23.0,21.8,27.4,27.2,27.65,26.9,67.0,65.0,67.0,73.0,6.4,3.9,8.3,6.4,36.5,29.75,73.0,119.0,0.0,0.0,0.0,0.0,27.3,27.2875,54.6,109.15,66.0,68.0,132.0,272.0,1.7523218264200064,Low,False,False
CALOOCAN CITY,2016,2,14,28,0,0.0,31.8,21.7,26.75,65.0,9.4,1598125,55.8,28640.23297,28.0,30.0,43.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3,32.2,30.6,32.3,19.4,22.6,23.8,23.0,23.85,27.4,27.2,27.65,70.0,67.0,65.0,67.0,1.6,6.4,3.9,8.3,29.0,30.0,58.0,120.0,0.0,0.0,0.0,0.0,25.625,26.525,51.25,106.1,68.5,67.25,137.0,269.0,1.7520531873289011,Low,False,False
CALOOCAN CITY,2016,2,21,26,0,0.2,32.4,21.6,27.0,61.0,7.8,1598370,55.8,28644.62366,28.0,28.0,30.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.8,28.3,32.2,30.6,21.7,19.4,22.6,23.8,26.75,23.85,27.4,27.2,65.0,70.0,67.0,65.0,9.4,1.6,6.4,3.9,28.0,32.25,56.0,129.0,0.0,0.0,0.0,0.0,25.3,26.3,50.6,105.2,67.5,66.75,135.0,267.0,1.626657156978672,Low,False,False
CALOOCAN CITY,2016,2,28,39,0,0.0,30.4,24.7,27.55,66.0,0.6,1598615,55.8,28649.01434,26.0,28.0,28.0,30.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,32.4,31.8,28.3,32.2,21.6,21.7,19.4,22.6,27.0,26.75,23.85,27.4,61.0,65.0,70.0,67.0,7.8,9.4,1.6,6.4,27.0,28.0,54.0,112.0,0.1,0.05,0.2,0.2,26.875,26.25,53.75,105.0,63.0,65.75,126.0,263.0,2.439611788954814,Moderate,False,False
CALOOCAN CITY,2016,3,6,39,0,0.0,34.7,25.0,29.85,70.0,9.6,1598860,55.8,28653.40502,39.0,26.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,30.4,32.4,31.8,28.3,24.7,21.6,21.7,19.4,27.55,27.0,26.75,23.85,66.0,61.0,65.0,70.0,0.6,7.8,9.4,1.6,32.5,30.25,65.0,121.0,0.1,0.05,0.2,0.2,27.275,26.2875,54.55,105.15,63.5,65.5,127.0,262.0,2.439237957044394,Moderate,False,False
CALOOCAN CITY,2016,3,13,17,0,0.0,33.6,21.2,27.4,60.0,8.9,1599105,55.8,28657.7957,39.0,39.0,26.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,34.7,30.4,32.4,31.8,25.0,24.7,21.6,21.7,29.85,27.55,27.0,26.75,70.0,66.0,61.0,65.0,9.6,0.6,7.8,9.4,39.0,33.0,78.0,132.0,0.0,0.05,0.0,0.2,28.7,27.7875,57.4,111.15,68.0,65.5,136.0,262.0,1.0630946685802372,Low,False,False
CALOOCAN CITY,2016,3,20,18,0,0.0,35.0,21.4,28.2,58.0,10.7,1599350,55.8,28662.18638,17.0,39.0,39.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,33.6,34.7,30.4,32.4,21.2,25.0,24.7,21.6,27.4,29.85,27.55,27.0,60.0,70.0,66.0,61.0,8.9,9.6,0.6,7.8,28.0,30.25,56.0,121.0,0.0,0.05,0.0,0.2,28.625,27.95,57.25,111.8,65.0,64.25,130.0,257.0,1.125457216994404,Low,False,False
CALOOCAN CITY,2016,3,27,19,0,2.4,31.6,23.8,27.7,67.0,4.1,1599595,55.8,28666.57706,18.0,17.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,33.6,34.7,30.4,21.4,21.2,25.0,24.7,28.2,27.4,29.85,27.55,58.0,60.0,70.0,66.0,10.7,8.9,9.6,0.6,17.5,28.25,35.0,113.0,0.0,0.0,0.0,0.0,27.8,28.25,55.6,113.0,59.0,63.5,118.0,254.0,1.1878006620425794,Low,False,False
CALOOCAN CITY,2016,4,3,13,0,0.0,35.0,22.8,28.9,57.0,10.6,1599841,55.8,28670.98566,19.0,18.0,17.0,39.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,31.6,35.0,33.6,34.7,23.8,21.4,21.2,25.0,27.7,28.2,27.4,29.85,67.0,58.0,60.0,70.0,4.1,10.7,8.9,9.6,18.5,23.25,37.0,93.0,1.2,0.6,2.4,2.4,27.95,28.2875,55.9,113.15,62.5,63.75,125.0,255.0,0.8125807502120523,Low,False,False
CALOOCAN CITY,2016,4,10,18,0,0.0,35.0,24.4,29.7,53.0,11.2,1600086,55.8,28675.37634,13.0,19.0,18.0,17.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,35.0,31.6,35.0,33.6,22.8,23.8,21.4,21.2,28.9,27.7,28.2,27.4,57.0,67.0,58.0,60.0,10.6,4.1,10.7,8.9,16.0,16.75,32.0,67.0,1.2,0.6,2.4,2.4,28.3,28.05,56.6,112.2,62.0,60.5,124.0,242.0,1.1249395345000206,Low,False,False
CALOOCAN CITY,2016,4,17,6,0,0.0,37.7,24.6,31.15,51.0,8.7,1600331,55.8,28679.76703,18.0,13.0,19.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,35.0,35.0,31.6,35.0,24.4,22.8,23.8,21.4,29.7,28.9,27.7,28.2,53.0,57.0,67.0,58.0,11.2,10.6,4.1,10.7,15.5,17.0,31.0,68.0,0.0,0.6,0.0,2.4,29.3,28.625,58.6,114.5,55.0,58.75,110.0,235.0,0.3749224379206551,Low,False,False
CALOOCAN CITY,2016,4,24,8,0,0.0,36.2,26.7,31.45,58.0,11.5,1600577,55.8,28684.17563,6.0,18.0,13.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,37.7,35.0,35.0,31.6,24.6,24.4,22.8,23.8,31.15,29.7,28.9,27.7,51.0,53.0,57.0,67.0,8.7,11.2,10.6,4.1,12.0,14.0,24.0,56.0,0.0,0.6,0.0,2.4,30.425,29.3625,60.85,117.45,52.0,57.0,104.0,228.0,0.499819752501754,Low,False,False
CALOOCAN CITY,2016,5,1,11,0,0.0,36.4,26.6,31.5,57.0,10.3,1600822,55.8,28688.56631,8.0,6.0,18.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.2,37.7,35.0,35.0,26.7,24.6,24.4,22.8,31.45,31.15,29.7,28.9,58.0,51.0,53.0,57.0,11.5,8.7,11.2,10.6,7.0,11.25,14.0,45.0,0.0,0.0,0.0,0.0,31.3,30.3,62.6,121.2,54.5,54.75,109.0,219.0,0.6871469782399292,Low,False,False
CALOOCAN CITY,2016,5,8,6,0,0.0,36.2,26.9,31.55,55.0,10.7,1601068,55.8,28692.97491,11.0,8.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.4,36.2,37.7,35.0,26.6,26.7,24.6,24.4,31.5,31.45,31.15,29.7,57.0,58.0,51.0,53.0,10.3,11.5,8.7,11.2,9.5,10.75,19.0,43.0,0.0,0.0,0.0,0.0,31.475,30.95,62.95,123.8,57.5,54.75,115.0,219.0,0.3747498544721398,Low,False,False
CALOOCAN CITY,2016,5,15,8,0,0.0,35.5,27.2,31.35,57.0,6.9,1601313,55.8,28697.36559,6.0,11.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.2,36.4,36.2,37.7,26.9,26.6,26.7,24.6,31.55,31.5,31.45,31.15,55.0,57.0,58.0,51.0,10.7,10.3,11.5,8.7,8.5,7.75,17.0,31.0,0.0,0.0,0.0,0.0,31.525,31.4125,63.05,125.65,56.0,55.25,112.0,221.0,0.499590023936607,Low,False,False
