CITY,LSTM_RMSE,LSTM_MAE,LSTM_MAPE,LSTM_Risk_Accuracy,LSTM_Risk_F1,GRU_RMSE,GRU_MAE,GRU_MAPE,GRU_Risk_Accuracy,GRU_Risk_F1,CNN-LSTM_RMSE,CNN-LSTM_MAE,CNN-LSTM_MAPE,CNN-LSTM_Risk_Accuracy,CNN-LSTM_Risk_F1,ARIMA_RMSE,ARIMA_MAE,ARIMA_MAPE,ARIMA_Risk_Accuracy,ARIMA_Risk_F1,Hybrid_RMSE,Hybrid_MAE,Hybrid_MAPE,Hybrid_Risk_Accuracy,Hybrid_Risk_F1
CALOOCAN CITY,14.38607021,12.21853363,204.2440919,0.4,0.228571429,11.47420211,8.612824497,132.9262588,0.44,0.304380306,10.97209955,8.554843721,137.6807172,0.42,0.29147708,50.12027467,49.1644503,984.4231667,0.4,0.228571429,96.29857097,91.1956638,1809.751705,0.4,0.228571429
LAS PINAS CITY,7.212480397,4.410388869,128.3290271,0.32,0.368932331,6.176839979,4.182376059,127.385103,0.3,0.322287555,6.363288784,4.243310652,140.5414472,0.36,0.406299841,19.82000258,19.23129923,902.334457,0.16,0.044137931,52.28087882,51.50656946,2381.049483,0.16,0.044137931
MAKATI CITY,5.098380274,4.096139879,114.0718331,0.32,0.239101844,4.200463278,3.256608007,82.01644506,0.38,0.295541335,4.443380563,3.418394079,81.20330828,0.38,0.301417203,21.83850402,20.57779349,711.5178796,0.26,0.107301587,74.95873615,74.66243766,2686.317318,0.26,0.107301587
MALABON CITY,4.610801524,3.3655699,75.53709944,0.56,0.538820346,6.507765514,5.018627548,141.2097772,0.44,0.391495461,5.899351281,4.531474681,123.3996958,0.44,0.44625,53.23170965,50.33359048,1724.707005,0.06,0.006792453,146.8127217,146.0313368,5309.630111,0.06,0.006792453
MANDALUYONG CITY,5.326329685,4.579821639,197.8736829,0.12,0.047955182,5.571958041,3.716325588,133.3829939,0.18,0.103183673,5.662997619,3.589437094,126.3865326,0.18,0.110095238,9.656598612,9.400691358,441.1320736,0.04,0.003076923,9.236652909,8.142454563,366.6053452,0.2,0.243555556
MANILA CITY,13.15524284,12.21505337,415.2356444,0.38,0.209275362,8.877907257,7.848869915,231.290505,0.38,0.240666667,18.17188189,17.5420911,635.475854,0.38,0.209275362,59.3714868,58.63662737,2060.585223,0.38,0.209275362,162.1762734,157.8757721,5317.679474,0.38,0.209275362
MARIKINA CITY,4.307253132,3.483447728,142.6535913,0.36,0.258333333,3.690998435,2.631505544,99.4336393,0.4,0.320406079,3.700760131,2.726224174,115.5002461,0.4,0.287714286,14.63853588,14.31153236,679.6813016,0.14,0.034385965,44.50301448,42.89788557,2063.293471,0.14,0.034385965
MUNTINLUPA CITY,4.146475628,3.147164385,139.2298954,0.3,0.31794196,2.861814675,1.983471836,116.2691389,0.72,0.699121061,3.032744842,2.510654601,136.2155444,0.3,0.303370188,30.55865292,28.82260066,1342.442919,0.1,0.018181818,87.62961557,87.12639559,4308.058574,0.1,0.018181818
NAVOTAS CITY,3.169173015,2.601627123,84.2234906,0.34,0.360858645,3.028282293,2.309695461,67.00256915,0.4,0.444252022,3.209713046,2.587310083,77.10336892,0.32,0.328313929,6.050288259,5.740421727,220.636494,0.16,0.124166667,16.44864526,15.28311816,786.8456589,0.12,0.030545455
PARANAQUE CITY,6.910176852,5.143442335,154.7065744,0.46,0.444388664,9.905174965,8.648905478,294.8975077,0.22,0.132357724,6.999144427,5.391277864,160.3282259,0.48,0.459046784,62.06588889,59.48973936,2297.033796,0.14,0.034385965,152.0353897,150.3959516,5308.747201,0.14,0.034385965
PASAY CITY,3.547947,3.095573082,153.510853,0.06,0.028739496,2.561935239,1.790474042,82.46616077,0.52,0.581576355,3.584879356,2.962585459,124.4531828,0.1,0.041829522,17.98233581,16.88199036,902.3164635,0.06,0.006792453,59.42042473,58.61687725,3095.055645,0.06,0.006792453
PASIG CITY,8.680747152,6.576271304,180.9661039,0.4,0.417186701,8.075901163,5.612370882,140.8556746,0.32,0.243333333,7.900761571,6.014627579,169.7473114,0.38,0.402156863,40.80633903,38.79963046,1473.034877,0.22,0.079344262,142.1152733,141.2251771,5219.346193,0.22,0.079344262
PATEROS,4.773098259,3.537739905,140.4747751,0.1,0.043151515,4.869047262,3.709643637,129.8508058,0.06,0.0144,4.922647227,3.061592208,96.87883326,0.06,0.015,4.747465679,3.794260196,137.7671734,0.14,0.060467532,13.18906584,12.81941303,693.7555975,0.12,0.025714286
QUEZON CITY,33.4563438,28.15190304,435.288035,0.4,0.235294118,31.28371357,25.87732544,414.7215501,0.4,0.228571429,28.1265949,23.4695607,333.6325152,0.4,0.242424242,164.0396176,162.4249994,3434.88515,0.4,0.228571429,311.3616069,295.7824529,6087.29708,0.4,0.228571429
SAN JUAN CITY,1.648145169,1.478655913,80.12963988,0.8,0.84047619,2.336058053,2.168912599,130.1571893,0.42,0.513805234,1.388185674,1.244766043,66.22119126,0.86,0.876731359,6.276034199,6.208785767,400.2523246,0,0,15.8701032,15.29553996,986.6853074,0,0
TAGUIG CITY,10.65832045,7.846212584,135.3321067,0.52,0.502858688,9.294721454,6.700938817,98.35505632,0.48,0.499042125,10.69751424,7.463592181,120.1981657,0.54,0.546940171,50.95384606,48.17719391,1589.940759,0.26,0.107301587,125.8083865,125.3438801,4067.758533,0.26,0.107301587
VALENZUELA CITY,6.864944681,5.583893318,147.0384863,0.32,0.238388511,6.222036965,5.016633778,122.9879846,0.4,0.320810811,6.229556271,4.900633345,123.5921264,0.38,0.328835165,17.78245575,16.9099542,559.7761679,0.32,0.155151515,33.39390484,30.43427795,922.8581888,0.3,0.147692308
